Timestamp,Prediction,Actual
1743089697.8984597,0,1
1743089698.592551,0,1
1743089699.4251287,0,1
1743089700.9505208,0,0
1743089700.993768,0,0
1743089701.132263,0,1
1743089701.9053578,0,1
1743089702.6496644,0,1
1743089705.1930258,0,0
1743089705.2459133,0,1
1743089705.2881312,0,0
1743089705.330407,0,0
1743089705.3697245,0,0
1743089705.404226,0,0
1743089705.455812,0,0
1743089705.4975104,0,0
1743089705.5389624,0,0
1743089705.5817473,0,0
1743089705.6186829,0,0
1743089705.6552222,0,0
1743089705.700295,0,0
1743089705.7391458,0,0
1743089705.78173,0,0
1743089705.818462,0,0
1743089705.8537092,0,0
1743089705.8985672,0,0
1743089705.9394355,0,0
1743089705.9803011,0,0
1743089706.0184653,0,0
1743089706.055307,0,0
1743089709.324964,0,1
1743089709.369223,0,0
1743089709.4077058,0,1
1743089709.4497426,0,0
1743089709.5078957,0,1
1743089709.559117,0,1
1743089709.5959785,0,1
1743089709.642038,0,1
1743089709.680919,0,1
1743089709.7149236,0,1
1743089718.1977446,0,0
1743089718.2470913,0,0
1743089723.29102,0,0
1743089723.3337245,0,0
1743089723.373551,0,0
1743089723.4110155,0,0
1743089723.5082955,0,0
1743089723.5467885,0,0
1743089723.593428,0,0
1743089723.635918,0,0
1743089723.7827036,0,0
1743089723.8273108,0,0
1743089724.0621283,0,0
1743089725.716565,0,0
1743089725.9747188,0,0
1743089726.0163891,0,0
1743089726.0517242,0,0
1743089726.1002104,0,0
1743089745.2128365,0,0
1743089745.4162407,0,1
1743089745.4605155,0,0
1743089745.5029683,0,0
1743089745.5467317,0,0
1743089745.6383212,0,0
1743089745.6776686,0,0
1743089745.7188275,0,0
1743089745.884956,0,0
1743089745.9280407,0,0
1743089745.9664245,0,0
1743089746.015226,0,0
1743089746.0616834,0,0
1743089746.108604,0,0
1743089746.1536582,0,0
1743089746.2074234,0,0
1743089746.2595243,0,0
1743089746.310507,0,0
1743089746.368469,0,0
1743089746.4126666,0,0
1743089746.4617548,0,0
1743089746.517691,0,0
1743089746.563203,0,0
1743089746.6169114,0,0
1743089746.674659,0,0
1743089746.7203486,0,0
1743089746.7626247,0,0
1743089746.8584864,0,0
1743089746.899252,0,0
1743089746.9461267,0,0
1743089747.7474625,0,0
1743089747.8008502,0,0
1743089750.8515987,0,0
1743089751.4492493,0,0
1743089751.6773324,0,1
1743089751.7309911,0,0
1743089751.8336377,0,0
1743089752.0137153,0,0
1743089752.0536897,0,0
1743089752.2671,0,0
1743089752.386544,0,0
1743089752.4366112,0,0
1743089752.485118,0,0
1743089752.5309038,0,0
1743089752.5738783,0,0
1743089752.618489,0,0
1743089752.6634803,0,0
1743089752.7084503,0,0
1743089752.7614205,0,0
1743089752.825379,0,0
1743089752.8683517,0,0
1743089753.4547863,0,1
1743089753.49946,0,0
1743089753.55143,0,0
1743089753.5979483,0,1
1743089753.6863148,0,0
1743089754.2659538,0,0
1743089754.5061195,0,0
1743089754.6730156,0,1
1743089754.809346,0,1
1743089754.908285,0,1
1743089755.0057251,0,1
1743089755.1460953,0,0
1743089755.2015345,0,0
1743089755.2721388,0,0
1743089755.3376694,0,0
1743089755.3951726,0,0
1743089755.4605498,0,0
1743089755.5304737,0,0
1743089755.59364,0,0
1743089755.6802604,0,0
1743089755.7899482,0,0
1743089755.8809192,0,0
1743089755.9420788,0,0
1743089755.992202,0,0
1743089756.0396895,0,1
1743089756.0877674,0,0
1743089756.1390026,0,0
1743089756.204513,0,0
1743089756.397498,0,0
1743089756.5439708,0,0
1743089756.645233,0,0
1743089756.7537062,0,0
1743089756.8371146,0,0
1743089756.9051716,0,0
1743089756.960102,0,0
1743089757.0138233,0,0
1743089757.0680945,0,0
1743089757.1123571,0,0
1743089757.1655023,0,0
1743089757.2139146,0,0
1743089757.2588887,0,0
1743089757.319313,0,0
1743089757.3735309,0,0
1743089757.421269,0,1
1743089757.4765227,0,0
1743089757.525235,0,0
1743089757.5731423,0,1
1743089757.6653368,0,0
1743089757.711849,0,0
1743089757.763316,0,0
1743089757.810157,0,0
1743089757.8615963,0,0
1743089757.9035726,0,1
1743089757.951203,0,0
1743089757.9991202,0,0
1743089758.045517,0,0
1743089758.0935144,0,0
1743089758.1342225,0,0
1743089758.177195,0,0
1743089758.2168272,0,0
1743089758.260074,0,0
1743089758.303047,0,0
1743089758.347022,0,0
1743089758.3859985,0,0
1743089758.4314432,0,0
1743089758.4784117,0,0
1743089758.520228,0,0
1743089758.5623772,0,1
1743089758.6041143,0,0
1743089758.6450014,0,0
1743089758.6884265,0,0
1743089758.732484,0,0
1743089758.7758377,0,0
1743089758.8218076,0,0
1743089758.8656738,0,0
1743089758.9113965,0,0
1743089758.9524026,0,0
1743089758.994692,0,0
1743089759.0346642,0,0
1743089759.080074,0,0
1743089759.1190145,0,0
1743089759.160799,0,0
1743089759.2017736,0,0
1743089759.2490802,0,0
1743089759.3040462,0,0
1743089759.35315,0,0
1743089759.402119,0,0
